,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,4.6068,0.2712,0.0061,Timber,Storlien,63.3160,12.1018
1,10.677,0.2958,0.0073,Steel,Orkanger,63.3000,9.8468
2,6.0086,0.1778,0.0026,Timber,Tiller,63.3604,10.4008
3,2.8172,0.1815,0.0027,Timber,Orkanger,63.3000,9.8468
4,10.2649,0.2349,0.0046,Timber,Gjovik,60.8941,10.5001
5,9.1658,0.1809,0.0027,Timber,Storlien,63.3160,12.1018
6,2.4387,0.2947,0.0072,Steel,Gjovik,60.8941,10.5001
7,4.1314,0.2221,0.0041,Timber,Tiller,63.3604,10.4008
8,2.1472,0.1895,0.003,Timber,Storlien,63.3160,12.1018
9,1.7476,0.2213,0.0041,Timber,Gjovik,60.8941,10.5001
