,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,4.4228,0.2452,0.005,Timber,XL-BYGG Lade,63.4423683,10.4438836
1,5.9953,0.2879,0.0069,Timber,XL-BYGG Lade,63.4423683,10.4438836
2,7.3222,0.2606,0.0057,Timber,XL-BYGG Lade,63.4423683,10.4438836
3,7.3016,0.292,0.0071,Timber,XL-BYGG Lade,63.4423683,10.4438836
4,10.8663,0.2353,0.0046,Steel,Norsk Stål Trondheim,63.4384474,10.40994
5,6.3041,0.2335,0.0045,Steel,Norsk Stål Trondheim,63.4384474,10.40994
6,8.7843,0.2726,0.0062,Timber,XL-BYGG Lade,63.4423683,10.4438836
7,1.1679,0.2264,0.0043,Timber,XL-BYGG Lade,63.4423683,10.4438836
8,5.6661,0.1788,0.0027,Steel,Norsk Stål Trondheim,63.4384474,10.40994
9,7.1971,0.2766,0.0064,Steel,Norsk Stål Trondheim,63.4384474,10.40994
