,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,4.643,0.1867,0.0029,Timber,Orkanger,63.3000,9.8468
1,5.3342,0.1871,0.0029,Steel,Storlien,63.3160,12.1018
2,1.9409,0.2496,0.0052,Steel,Storlien,63.3160,12.1018
3,2.8451,0.2453,0.005,Steel,Orkanger,63.3000,9.8468
4,6.8873,0.2689,0.006,Timber,Storlien,63.3160,12.1018
5,7.6899,0.2802,0.0065,Timber,Storlien,63.3160,12.1018
6,3.2037,0.2732,0.0062,Steel,Storlien,63.3160,12.1018
7,9.0053,0.2857,0.0068,Steel,Tiller,63.3604,10.4008
8,7.576,0.2218,0.0041,Timber,Tiller,63.3604,10.4008
9,5.9695,0.1732,0.0025,Timber,Tiller,63.3604,10.4008
