,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,7.5556,0.2077,0.0036,Timber,XL-BYGG Lade,63.4423683,10.4438836
1,6.3485,0.2712,0.0061,Timber,XL-BYGG Lade,63.4423683,10.4438836
2,9.6967,0.2088,0.0036,Timber,XL-BYGG Lade,63.4423683,10.4438836
3,4.1902,0.165,0.0023,Timber,XL-BYGG Lade,63.4423683,10.4438836
4,9.373,0.2602,0.0056,Steel,Norsk Stål Trondheim,63.4384474,10.40994
5,3.7644,0.2041,0.0035,Steel,Norsk Stål Trondheim,63.4384474,10.40994
6,9.7337,0.269,0.006,Timber,XL-BYGG Lade,63.4423683,10.4438836
7,2.2505,0.201,0.0034,Timber,XL-BYGG Lade,63.4423683,10.4438836
8,5.2392,0.248,0.0051,Steel,Norsk Stål Trondheim,63.4384474,10.40994
9,5.294,0.2953,0.0073,Steel,Norsk Stål Trondheim,63.4384474,10.40994
