,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,1.9285,0.2872,0.0069,Timber,Storlien,63.3160,12.1018
1,6.5696,0.1869,0.0029,Timber,Gjovik,60.8941,10.5001
2,3.0806,0.1542,0.002,Steel,Orkanger,63.3000,9.8468
3,2.174,0.1842,0.0028,Steel,Gjovik,60.8941,10.5001
4,8.7579,0.1674,0.0023,Timber,Orkanger,63.3000,9.8468
5,5.8622,0.301,0.0075,Steel,Storlien,63.3160,12.1018
6,10.1612,0.2092,0.0036,Timber,Storlien,63.3160,12.1018
7,9.3731,0.2752,0.0063,Steel,Storlien,63.3160,12.1018
8,2.67,0.2562,0.0055,Timber,Orkanger,63.3000,9.8468
9,8.0312,0.1929,0.0031,Steel,Gjovik,60.8941,10.5001
