,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,1.04,0.00201,8.69e-06,Steel,0,0,0
1,2.6,0.00538,8.36e-05,Steel,0,0,0
2,9.72,0.00239,1.32e-05,Steel,0,0,0
3,8.42,0.036344320606800304,0.00011007580336415743,Timber,0,0,0
4,2.77,0.023530999647915746,4.614232870251758e-05,Timber,0,0,0
5,2.05,0.00538,8.36e-05,Steel,0,0,0
6,7.89,0.02026630178678457,3.4226915676085615e-05,Timber,0,0,0
7,2.6,0.00538,8.36e-05,Steel,0,0,0
8,6.24,0.00239,1.32e-05,Steel,0,0,0
9,6.86,0.00201,8.69e-06,Steel,0,0,0
10,5.76,0.035329979221874946,0.00010401728598484295,Timber,0,0,0
11,7.2,0.020884045433366985,3.634527947191137e-05,Timber,0,0,0
12,4.75,0.00459,5.79e-05,Steel,0,0,0
13,8.15,0.00334,2.77e-05,Steel,0,0,0
14,3.13,0.004450049762462141,1.6502452406991133e-06,Timber,0,0,0
15,5.76,0.02246818188722572,4.20682664431215e-05,Timber,0,0,0
16,4.55,0.03278204379292397,8.95551996034321e-05,Timber,0,0,0
17,8.69,0.0252735621474935,5.322941196860136e-05,Timber,0,0,0
18,7.72,0.00201,8.69e-06,Steel,0,0,0
19,6.76,0.00334,2.77e-05,Steel,0,0,0
20,1.17,0.00201,8.69e-06,Steel,0,0,0
21,5.29,0.00239,1.32e-05,Steel,0,0,0
22,3.99,0.00201,8.69e-06,Steel,0,0,0
23,2.83,0.02716090184169571,6.147621573785246e-05,Timber,0,0,0
24,9.66,0.0164957666407545,2.2675859755519083e-05,Timber,0,0,0
25,9.99,0.026893367181157566,6.027109986171357e-05,Timber,0,0,0
26,6.37,0.00239,1.32e-05,Steel,0,0,0
27,8.14,0.00103,1.71e-06,Steel,0,0,0
28,5.7,0.03957640166866995,0.0001305242974199918,Timber,0,0,0
29,1.44,0.00538,8.36e-05,Steel,0,0,0
30,1.07,0.00164,5.41e-06,Steel,0,0,0
31,7.38,0.00459,5.79e-05,Steel,0,0,0
32,9.88,0.00239,1.32e-05,Steel,0,0,0
33,4.32,0.00164,5.41e-06,Steel,0,0,0
34,5.19,0.02168144586751037,3.917375790881521e-05,Timber,0,0,0
35,9.35,0.009965339006358735,8.275665125971242e-06,Timber,0,0,0
36,3.67,0.006991733804045478,4.073695132219354e-06,Timber,0,0,0
37,3.76,0.006332572552259165,3.3417895941355135e-06,Timber,0,0,0
38,9.8,0.016516565235805015,2.2733077265716897e-05,Timber,0,0,0
39,5.42,0.020046617627337313,3.348890652472259e-05,Timber,0,0,0
40,1.2,0.00164,5.41e-06,Steel,0,0,0
41,6.26,0.01914765579680601,3.0552726876079897e-05,Timber,0,0,0
42,4.11,0.0266389913073173,5.913632148927723e-05,Timber,0,0,0
43,1.71,0.011850980750357612,1.1703812062112222e-05,Timber,0,0,0
44,1.83,0.02934620712367306,7.176665604545996e-05,Timber,0,0,0
45,6.36,0.021673674621910066,3.91456809680357e-05,Timber,0,0,0
46,4.23,0.00334,2.77e-05,Steel,0,0,0
47,3.86,0.025242425340135623,5.309833642102676e-05,Timber,0,0,0
48,1.06,0.00239,1.32e-05,Steel,0,0,0
49,4.0,0.00538,8.36e-05,Steel,0,0,0
50,4.84,0.009124286347225952,6.937716778847825e-06,Timber,0,0,0
51,8.54,0.03198042567177457,8.522896884565818e-05,Timber,0,0,0
52,3.09,0.00334,2.77e-05,Steel,0,0,0
53,3.12,0.00103,1.71e-06,Steel,0,0,0
54,5.14,0.00538,8.36e-05,Steel,0,0,0
55,4.55,0.00103,1.71e-06,Steel,0,0,0
56,7.37,0.01781128777875428,2.643683102813346e-05,Timber,0,0,0
57,8.49,0.02826326470572366,6.656767765215039e-05,Timber,0,0,0
58,2.32,0.03825339986982593,0.00012194355013339985,Timber,0,0,0
59,5.3,0.018145638926221327,2.7438684336733223e-05,Timber,0,0,0
60,6.12,0.011973591510344725,1.1947241138049942e-05,Timber,0,0,0
61,5.01,0.028996904727883115,7.006837364982752e-05,Timber,0,0,0
62,6.71,0.033707260554874385,9.468161784284921e-05,Timber,0,0,0
63,3.63,0.00459,5.79e-05,Steel,0,0,0
64,7.09,0.028074514396701174,6.568152988421513e-05,Timber,0,0,0
65,1.26,0.00201,8.69e-06,Steel,0,0,0
66,9.67,0.006979273014349656,4.059187650735778e-06,Timber,0,0,0
67,3.59,0.03834308435803732,0.00012251600984063054,Timber,0,0,0
68,2.31,0.011662759034025798,1.1334995690479195e-05,Timber,0,0,0
69,4.04,0.00239,1.32e-05,Steel,0,0,0
70,7.85,0.01190995663639528,1.182058892340133e-05,Timber,0,0,0
71,3.18,0.012406780900800886,1.282735102670647e-05,Timber,0,0,0
72,9.98,0.00459,5.79e-05,Steel,0,0,0
73,8.65,0.01177297781973579,1.1550250561999239e-05,Timber,0,0,0
74,8.37,0.00164,5.41e-06,Steel,0,0,0
75,3.72,0.00459,5.79e-05,Steel,0,0,0
76,1.59,0.00103,1.71e-06,Steel,0,0,0
77,7.62,0.008434910659346272,5.928976485929447e-06,Timber,0,0,0
78,6.61,0.012796613419605096,1.364610958423477e-05,Timber,0,0,0
79,8.4,0.01567469952645263,2.0474683770381188e-05,Timber,0,0,0
80,7.8,0.027994341819792136,6.530693116028024e-05,Timber,0,0,0
81,7.68,0.019805103907054065,3.2686845064100685e-05,Timber,0,0,0
82,8.09,0.017036228973962977,2.418609147110797e-05,Timber,0,0,0
83,7.06,0.010935352634190043,9.965161436173927e-06,Timber,0,0,0
84,9.04,0.0064848445044576025,3.5044340205828307e-06,Timber,0,0,0
85,1.77,0.03292392848900129,9.033208892907255e-05,Timber,0,0,0
