,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,7.73,0.00334,2.77e-05,Steel,0,0,0
1,1.92,0.00201,8.69e-06,Steel,0,0,0
2,8.28,0.00103,1.71e-06,Steel,0,0,0
3,3.29,0.00201,8.69e-06,Steel,0,0,0
4,5.62,0.00334,2.77e-05,Steel,0,0,0
5,2.71,0.00201,8.69e-06,Steel,0,0,0
6,7.46,0.00239,1.32e-05,Steel,0,0,0
7,8.22,0.00538,8.36e-05,Steel,0,0,0
8,2.87,0.00239,1.32e-05,Steel,0,0,0
9,8.25,0.00239,1.32e-05,Steel,0,0,0
10,4.36,0.00538,8.36e-05,Steel,0,0,0
11,2.8,0.00239,1.32e-05,Steel,0,0,0
12,4.67,0.00459,5.79e-05,Steel,0,0,0
13,4.68,0.00459,5.79e-05,Steel,0,0,0
14,7.31,0.00459,5.79e-05,Steel,0,0,0
15,6.91,0.00103,1.71e-06,Steel,0,0,0
16,2.64,0.00459,5.79e-05,Steel,0,0,0
17,6.34,0.00334,2.77e-05,Steel,0,0,0
18,3.46,0.00239,1.32e-05,Steel,0,0,0
19,1.57,0.00334,2.77e-05,Steel,0,0,0
20,9.01,0.00164,5.41e-06,Steel,0,0,0
21,5.5,0.00334,2.77e-05,Steel,0,0,0
22,3.44,0.00103,1.71e-06,Steel,0,0,0
23,4.59,0.00538,8.36e-05,Steel,0,0,0
24,7.23,0.00239,1.32e-05,Steel,0,0,0
25,5.18,0.00239,1.32e-05,Steel,0,0,0
26,6.28,0.00164,5.41e-06,Steel,0,0,0
27,6.01,0.00459,5.79e-05,Steel,0,0,0
28,6.9,0.00334,2.77e-05,Steel,0,0,0
29,7.55,0.00201,8.69e-06,Steel,0,0,0
30,6.33,0.00103,1.71e-06,Steel,0,0,0
31,3.89,0.00334,2.77e-05,Steel,0,0,0
32,8.41,0.00201,8.69e-06,Steel,0,0,0
33,3.32,0.00538,8.36e-05,Steel,0,0,0
34,2.92,0.00334,2.77e-05,Steel,0,0,0
35,4.89,0.00459,5.79e-05,Steel,0,0,0
36,4.3,0.00538,8.36e-05,Steel,0,0,0
37,8.26,0.00164,5.41e-06,Steel,0,0,0
38,5.95,0.00103,1.71e-06,Steel,0,0,0
39,7.61,0.00239,1.32e-05,Steel,0,0,0
40,6.6,0.00538,8.36e-05,Steel,0,0,0
41,5.95,0.00459,5.79e-05,Steel,0,0,0
42,1.27,0.00538,8.36e-05,Steel,0,0,0
43,1.97,0.00103,1.71e-06,Steel,0,0,0
44,1.84,0.00164,5.41e-06,Steel,0,0,0
45,3.53,0.00239,1.32e-05,Steel,0,0,0
46,1.6,0.00201,8.69e-06,Steel,0,0,0
47,7.64,0.00164,5.41e-06,Steel,0,0,0
48,8.23,0.00538,8.36e-05,Steel,0,0,0
49,4.08,0.00164,5.41e-06,Steel,0,0,0
50,1.77,0.00538,8.36e-05,Steel,0,0,0
51,4.18,0.00164,5.41e-06,Steel,0,0,0
52,5.62,0.00538,8.36e-05,Steel,0,0,0
53,7.97,0.00334,2.77e-05,Steel,0,0,0
54,1.46,0.00538,8.36e-05,Steel,0,0,0
55,6.23,0.00164,5.41e-06,Steel,0,0,0
56,1.28,0.00239,1.32e-05,Steel,0,0,0
57,3.39,0.00334,2.77e-05,Steel,0,0,0
58,2.68,0.00103,1.71e-06,Steel,0,0,0
59,4.05,0.00459,5.79e-05,Steel,0,0,0
60,7.75,0.00103,1.71e-06,Steel,0,0,0
61,8.88,0.00239,1.32e-05,Steel,0,0,0
