,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,1.21,0.023249058550565634,4.5043226957302414e-05,Timber,Orkanger,63.3000,9.8468
1,7.11,0.0052298320498972714,2.2792619391777245e-06,Timber,Melhus,63.2897753,10.2934154
2,4.12,0.00334,2.77e-05,Steel,Orkanger,63.3000,9.8468
3,9.74,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
4,2.3,0.00103,1.71e-06,Steel,Meråker,63.415312,11.747262
5,2.78,0.00164,5.41e-06,Steel,Støren,63.033639,10.286356
6,1.75,0.02287238265057942,4.3595490676210545e-05,Timber,Meråker,63.415312,11.747262
7,1.02,0.00201,8.69e-06,Steel,Berkåk,62.8238946,9.9934341
8,3.9,0.00334,2.77e-05,Steel,Støren,63.033639,10.286356
9,3.17,0.00689989011510356,3.9673736333753185e-06,Timber,Meråker,63.415312,11.747262
10,5.91,0.009536137935610431,7.578160560582365e-06,Timber,Berkåk,62.8238946,9.9934341
11,7.64,0.009979280824333386,8.29883714757567e-06,Timber,Steinkjer,64.024861,11.4891085
12,7.31,0.012234890523816303,1.2474378844147498e-05,Timber,Steinkjer,64.024861,11.4891085
13,6.05,0.00538,8.36e-05,Steel,Støren,63.033639,10.286356
14,9.55,0.03864178343488052,0.00012443228558568388,Timber,Steinkjer,64.024861,11.4891085
15,9.22,0.03340757412451177,9.30055007403957e-05,Timber,Meråker,63.415312,11.747262
16,3.13,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
17,3.44,0.014225341531362496,1.6863361806992224e-05,Timber,Steinkjer,64.024861,11.4891085
18,1.35,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
19,8.71,0.00334,2.77e-05,Steel,Berkåk,62.8238946,9.9934341
20,5.41,0.00164,5.41e-06,Steel,Steinkjer,64.024861,11.4891085
21,4.77,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
22,2.91,0.02262555430644143,4.265964230614419e-05,Timber,Berkåk,62.8238946,9.9934341
23,1.52,0.02264412720996695,4.27297080917638e-05,Timber,Steinkjer,64.024861,11.4891085
24,7.17,0.009908814229799456,8.182049953389682e-06,Timber,Melhus,63.2897753,10.2934154
25,1.71,0.00239,1.32e-05,Steel,Melhus,63.2897753,10.2934154
26,2.94,0.03578877085425114,0.00010673634327150798,Timber,Meråker,63.415312,11.747262
27,4.67,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
28,9.83,0.00201,8.69e-06,Steel,Melhus,63.2897753,10.2934154
29,8.46,0.029797869765519177,7.399275354690348e-05,Timber,Melhus,63.2897753,10.2934154
30,1.51,0.014273896879589916,1.6978677677430562e-05,Timber,Støren,63.033639,10.286356
31,3.65,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
32,3.32,0.00201,8.69e-06,Steel,Orkanger,63.3000,9.8468
33,5.8,0.00164,5.41e-06,Steel,Berkåk,62.8238946,9.9934341
34,1.98,0.00239,1.32e-05,Steel,Støren,63.033639,10.286356
35,2.55,0.00164,5.41e-06,Steel,Orkanger,63.3000,9.8468
36,7.23,0.03284871313518352,8.991982955313153e-05,Timber,Steinkjer,64.024861,11.4891085
37,1.47,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
38,7.74,0.00201,8.69e-06,Steel,Orkanger,63.3000,9.8468
39,1.63,0.00538,8.36e-05,Steel,Støren,63.033639,10.286356
40,1.74,0.00164,5.41e-06,Steel,Orkanger,63.3000,9.8468
41,2.62,0.00334,2.77e-05,Steel,Støren,63.033639,10.286356
42,2.95,0.00334,2.77e-05,Steel,Meråker,63.415312,11.747262
43,3.6,0.023273585568754567,4.5138315435511736e-05,Timber,Meråker,63.415312,11.747262
44,1.85,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
45,7.88,0.022813443796706415,4.33711014887902e-05,Timber,Melhus,63.2897753,10.2934154
46,2.52,0.015491776326360238,1.9999594478831294e-05,Timber,Støren,63.033639,10.286356
47,5.65,0.033759708782848445,9.497649475856121e-05,Timber,Steinkjer,64.024861,11.4891085
48,9.32,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
49,5.09,0.029878571145050558,7.439408447248732e-05,Timber,Steinkjer,64.024861,11.4891085
50,9.78,0.03455000968477155,9.947526410148399e-05,Timber,Melhus,63.2897753,10.2934154
51,7.26,0.00334,2.77e-05,Steel,Berkåk,62.8238946,9.9934341
52,2.75,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
53,6.4,0.03862181796033075,0.00012430373521341056,Timber,Orkanger,63.3000,9.8468
54,1.38,0.027567452738364306,6.33303708734958e-05,Timber,Støren,63.033639,10.286356
55,8.78,0.00103,1.71e-06,Steel,Melhus,63.2897753,10.2934154
56,1.04,0.013057077949213191,1.4207273714319113e-05,Timber,Meråker,63.415312,11.747262
57,8.66,0.0070700313219600585,4.165445241124691e-06,Timber,Meråker,63.415312,11.747262
58,3.62,0.01604171984270006,2.1444731292639732e-05,Timber,Støren,63.033639,10.286356
59,5.12,0.03215526769266004,8.616343669888556e-05,Timber,Melhus,63.2897753,10.2934154
60,9.01,0.00538,8.36e-05,Steel,Steinkjer,64.024861,11.4891085
61,3.04,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
62,9.78,0.020862008004076713,3.626861483018007e-05,Timber,Steinkjer,64.024861,11.4891085
63,4.07,0.036313167567794194,0.00010988717823389166,Timber,Melhus,63.2897753,10.2934154
64,8.08,0.018417516315289144,2.8267075601995153e-05,Timber,Meråker,63.415312,11.747262
65,6.01,0.005804992036180163,2.8081610450095928e-06,Timber,Melhus,63.2897753,10.2934154
66,4.47,0.00239,1.32e-05,Steel,Orkanger,63.3000,9.8468
67,1.19,0.00239,1.32e-05,Steel,Meråker,63.415312,11.747262
68,4.45,0.008936277607457133,6.654754789794981e-06,Timber,Støren,63.033639,10.286356
69,6.7,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
70,6.75,0.00103,1.71e-06,Steel,Berkåk,62.8238946,9.9934341
71,3.23,0.00239,1.32e-05,Steel,Meråker,63.415312,11.747262
72,7.67,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
73,7.96,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
74,3.46,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
75,4.28,0.00201,8.69e-06,Steel,Orkanger,63.3000,9.8468
76,8.17,0.012479214511484156,1.297756623530306e-05,Timber,Melhus,63.2897753,10.2934154
77,1.43,0.00103,1.71e-06,Steel,Melhus,63.2897753,10.2934154
78,9.75,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
79,9.48,0.0188240435768072,2.952871804846137e-05,Timber,Meråker,63.415312,11.747262
80,8.07,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
81,7.3,0.012914535474604319,1.3898768877067782e-05,Timber,Orkanger,63.3000,9.8468
82,7.79,0.029948649384249758,7.474346666172695e-05,Timber,Støren,63.033639,10.286356
83,2.63,0.03194003193969153,8.501380335904291e-05,Timber,Støren,63.033639,10.286356
84,9.35,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
85,2.99,0.015573834475600323,2.0212026689449766e-05,Timber,Støren,63.033639,10.286356
