,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,3.07,0.00164,5.41e-06,Steel,Steinkjer,64.024861,11.4891085
1,6.18,0.00164,5.41e-06,Steel,Namsos,64.4675884,11.501161
2,3.69,0.00103,1.71e-06,Steel,Berkåk,62.8238946,9.9934341
3,9.54,0.00201,8.69e-06,Steel,Meråker,63.415312,11.747262
4,7.11,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
5,1.98,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
6,7.58,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
7,6.66,0.00239,1.32e-05,Steel,Dombås,62.073208,9.121031
8,9.09,0.00538,8.36e-05,Steel,Dombås,62.073208,9.121031
9,6.99,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
10,5.7,0.00239,1.32e-05,Steel,Berkåk,62.8238946,9.9934341
11,1.75,0.00459,5.79e-05,Steel,Dombås,62.073208,9.121031
12,3.77,0.00201,8.69e-06,Steel,Meråker,63.415312,11.747262
13,3.46,0.00334,2.77e-05,Steel,Meråker,63.415312,11.747262
14,1.38,0.00201,8.69e-06,Steel,Dombås,62.073208,9.121031
15,7.93,0.00239,1.32e-05,Steel,Namsos,64.4675884,11.501161
16,7.37,0.00164,5.41e-06,Steel,Vinjeøra,63.206995,8.997224
17,2.53,0.00164,5.41e-06,Steel,Berkåk,62.8238946,9.9934341
18,9.68,0.00334,2.77e-05,Steel,Vinjeøra,63.206995,8.997224
19,9.43,0.00334,2.77e-05,Steel,Vinjeøra,63.206995,8.997224
20,8.95,0.00239,1.32e-05,Steel,Dombås,62.073208,9.121031
21,5.03,0.00103,1.71e-06,Steel,Berkåk,62.8238946,9.9934341
22,1.49,0.00334,2.77e-05,Steel,Vinjeøra,63.206995,8.997224
23,7.27,0.00201,8.69e-06,Steel,Steinkjer,64.024861,11.4891085
24,4.09,0.00239,1.32e-05,Steel,Namsos,64.4675884,11.501161
25,9.71,0.00334,2.77e-05,Steel,Dombås,62.073208,9.121031
26,7.59,0.00459,5.79e-05,Steel,Vinjeøra,63.206995,8.997224
27,6.95,0.00103,1.71e-06,Steel,Dombås,62.073208,9.121031
28,3.75,0.00103,1.71e-06,Steel,Vinjeøra,63.206995,8.997224
29,3.57,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
30,7.8,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
31,9.5,0.00103,1.71e-06,Steel,Meråker,63.415312,11.747262
32,9.31,0.00164,5.41e-06,Steel,Namsos,64.4675884,11.501161
33,9.99,0.00459,5.79e-05,Steel,Namsos,64.4675884,11.501161
34,9.55,0.00103,1.71e-06,Steel,Vinjeøra,63.206995,8.997224
35,7.32,0.00334,2.77e-05,Steel,Namsos,64.4675884,11.501161
36,9.11,0.00334,2.77e-05,Steel,Dombås,62.073208,9.121031
37,3.96,0.00239,1.32e-05,Steel,Namsos,64.4675884,11.501161
38,5.28,0.00538,8.36e-05,Steel,Steinkjer,64.024861,11.4891085
39,9.97,0.00334,2.77e-05,Steel,Namsos,64.4675884,11.501161
40,3.19,0.00164,5.41e-06,Steel,Berkåk,62.8238946,9.9934341
41,8.07,0.00334,2.77e-05,Steel,Meråker,63.415312,11.747262
42,6.9,0.00103,1.71e-06,Steel,Vinjeøra,63.206995,8.997224
43,4.29,0.00459,5.79e-05,Steel,Namsos,64.4675884,11.501161
44,8.57,0.00201,8.69e-06,Steel,Steinkjer,64.024861,11.4891085
45,1.14,0.00334,2.77e-05,Steel,Meråker,63.415312,11.747262
46,3.72,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
47,3.58,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
48,3.4,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
49,2.7,0.00103,1.71e-06,Steel,Meråker,63.415312,11.747262
50,6.37,0.00334,2.77e-05,Steel,Dombås,62.073208,9.121031
51,8.67,0.00164,5.41e-06,Steel,Vinjeøra,63.206995,8.997224
52,3.1,0.00103,1.71e-06,Steel,Berkåk,62.8238946,9.9934341
53,1.13,0.00239,1.32e-05,Steel,Meråker,63.415312,11.747262
54,5.38,0.00538,8.36e-05,Steel,Namsos,64.4675884,11.501161
55,7.27,0.00239,1.32e-05,Steel,Berkåk,62.8238946,9.9934341
56,8.77,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
57,9.45,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
58,2.9,0.00164,5.41e-06,Steel,Dombås,62.073208,9.121031
59,6.22,0.00164,5.41e-06,Steel,Dombås,62.073208,9.121031
60,7.31,0.00239,1.32e-05,Steel,Berkåk,62.8238946,9.9934341
61,9.6,0.00538,8.36e-05,Steel,Steinkjer,64.024861,11.4891085
62,9.91,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
63,5.5,0.00459,5.79e-05,Steel,Dombås,62.073208,9.121031
64,2.14,0.00538,8.36e-05,Steel,Dombås,62.073208,9.121031
65,9.27,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
66,5.66,0.00459,5.79e-05,Steel,Meråker,63.415312,11.747262
67,6.45,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
68,3.81,0.00201,8.69e-06,Steel,Dombås,62.073208,9.121031
69,6.19,0.00164,5.41e-06,Steel,Berkåk,62.8238946,9.9934341
70,9.51,0.00239,1.32e-05,Steel,Dombås,62.073208,9.121031
71,8.18,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
72,4.17,0.00459,5.79e-05,Steel,Vinjeøra,63.206995,8.997224
73,3.48,0.00201,8.69e-06,Steel,Dombås,62.073208,9.121031
74,5.94,0.00103,1.71e-06,Steel,Namsos,64.4675884,11.501161
75,6.14,0.00334,2.77e-05,Steel,Dombås,62.073208,9.121031
76,1.45,0.00201,8.69e-06,Steel,Steinkjer,64.024861,11.4891085
77,2.03,0.00164,5.41e-06,Steel,Berkåk,62.8238946,9.9934341
78,2.12,0.00334,2.77e-05,Steel,Berkåk,62.8238946,9.9934341
79,2.38,0.00334,2.77e-05,Steel,Vinjeøra,63.206995,8.997224
80,9.67,0.00103,1.71e-06,Steel,Berkåk,62.8238946,9.9934341
81,8.22,0.00459,5.79e-05,Steel,Dombås,62.073208,9.121031
82,4.43,0.00201,8.69e-06,Steel,Dombås,62.073208,9.121031
83,9.71,0.00459,5.79e-05,Steel,Namsos,64.4675884,11.501161
84,6.85,0.00538,8.36e-05,Steel,Steinkjer,64.024861,11.4891085
85,5.75,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
86,5.75,0.00201,8.69e-06,Steel,Vinjeøra,63.206995,8.997224
87,2.34,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
88,7.08,0.00459,5.79e-05,Steel,Meråker,63.415312,11.747262
89,5.44,0.00164,5.41e-06,Steel,Meråker,63.415312,11.747262
90,4.73,0.00334,2.77e-05,Steel,Meråker,63.415312,11.747262
91,9.09,0.00103,1.71e-06,Steel,Meråker,63.415312,11.747262
92,2.48,0.00103,1.71e-06,Steel,Meråker,63.415312,11.747262
93,2.97,0.00164,5.41e-06,Steel,Steinkjer,64.024861,11.4891085
94,9.58,0.00239,1.32e-05,Steel,Dombås,62.073208,9.121031
95,2.15,0.00103,1.71e-06,Steel,Berkåk,62.8238946,9.9934341
96,1.99,0.00334,2.77e-05,Steel,Meråker,63.415312,11.747262
97,2.28,0.00459,5.79e-05,Steel,Namsos,64.4675884,11.501161
98,9.94,0.00538,8.36e-05,Steel,Steinkjer,64.024861,11.4891085
99,4.43,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
