,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,8.009,0.201,0.0034,Steel,Norsk Stål Trondheim,63.4384474,10.40994
1,2.9495,0.1584,0.0021,Steel,Norsk Stål Trondheim,63.4384474,10.40994
2,6.7661,0.2104,0.0037,Timber,XL-BYGG Lade,63.4423683,10.4438836
3,3.901,0.2297,0.0044,Timber,XL-BYGG Lade,63.4423683,10.4438836
4,7.7857,0.2607,0.0057,Timber,XL-BYGG Lade,63.4423683,10.4438836
5,3.2383,0.2649,0.0058,Steel,Norsk Stål Trondheim,63.4384474,10.40994
6,9.9551,0.1621,0.0022,Steel,Norsk Stål Trondheim,63.4384474,10.40994
7,8.2678,0.2477,0.0051,Timber,XL-BYGG Lade,63.4423683,10.4438836
8,2.6977,0.1741,0.0025,Steel,Norsk Stål Trondheim,63.4384474,10.40994
9,1.4012,0.2142,0.0038,Steel,Norsk Stål Trondheim,63.4384474,10.40994
10,3.4406,0.201,0.0034,Steel,Norsk Stål Trondheim,63.4384474,10.40994
11,7.1839,0.2314,0.0045,Steel,Norsk Stål Trondheim,63.4384474,10.40994
12,6.034,0.1768,0.0026,Steel,Norsk Stål Trondheim,63.4384474,10.40994
13,8.1954,0.2818,0.0066,Timber,XL-BYGG Lade,63.4423683,10.4438836
14,9.6618,0.1551,0.002,Timber,XL-BYGG Lade,63.4423683,10.4438836
15,5.8247,0.1577,0.0021,Steel,Norsk Stål Trondheim,63.4384474,10.40994
16,4.3602,0.2665,0.0059,Timber,XL-BYGG Lade,63.4423683,10.4438836
17,9.5599,0.2235,0.0042,Timber,XL-BYGG Lade,63.4423683,10.4438836
18,2.2835,0.1988,0.0033,Timber,XL-BYGG Lade,63.4423683,10.4438836
19,5.9247,0.1893,0.003,Steel,Norsk Stål Trondheim,63.4384474,10.40994
20,8.6982,0.1865,0.0029,Timber,XL-BYGG Lade,63.4423683,10.4438836
21,8.8375,0.2712,0.0061,Timber,XL-BYGG Lade,63.4423683,10.4438836
22,10.8828,0.2153,0.0039,Steel,Norsk Stål Trondheim,63.4384474,10.40994
23,9.4188,0.1577,0.0021,Steel,Norsk Stål Trondheim,63.4384474,10.40994
24,3.7228,0.2572,0.0055,Timber,XL-BYGG Lade,63.4423683,10.4438836
25,6.7262,0.1621,0.0022,Steel,Norsk Stål Trondheim,63.4384474,10.40994
26,6.4304,0.2462,0.0051,Timber,XL-BYGG Lade,63.4423683,10.4438836
27,9.4312,0.2771,0.0064,Steel,Norsk Stål Trondheim,63.4384474,10.40994
28,9.6136,0.1731,0.0025,Steel,Norsk Stål Trondheim,63.4384474,10.40994
29,5.8164,0.2543,0.0054,Timber,XL-BYGG Lade,63.4423683,10.4438836
30,4.3465,0.2881,0.0069,Steel,Norsk Stål Trondheim,63.4384474,10.40994
31,8.423,0.286,0.0068,Timber,XL-BYGG Lade,63.4423683,10.4438836
32,2.1223,0.2136,0.0038,Timber,XL-BYGG Lade,63.4423683,10.4438836
33,6.8992,0.2233,0.0042,Timber,XL-BYGG Lade,63.4423683,10.4438836
34,9.6996,0.1786,0.0027,Steel,Norsk Stål Trondheim,63.4384474,10.40994
35,6.7726,0.183,0.0028,Steel,Norsk Stål Trondheim,63.4384474,10.40994
36,7.2695,0.1999,0.0033,Steel,Norsk Stål Trondheim,63.4384474,10.40994
37,4.7313,0.2772,0.0064,Steel,Norsk Stål Trondheim,63.4384474,10.40994
38,2.6537,0.1663,0.0023,Timber,XL-BYGG Lade,63.4423683,10.4438836
39,9.9283,0.2518,0.0053,Steel,Norsk Stål Trondheim,63.4384474,10.40994
40,8.9818,0.2166,0.0039,Steel,Norsk Stål Trondheim,63.4384474,10.40994
41,8.0326,0.2481,0.0051,Timber,XL-BYGG Lade,63.4423683,10.4438836
42,4.0724,0.1893,0.003,Steel,Norsk Stål Trondheim,63.4384474,10.40994
43,1.9698,0.26,0.0056,Steel,Norsk Stål Trondheim,63.4384474,10.40994
44,3.6141,0.2121,0.0038,Timber,XL-BYGG Lade,63.4423683,10.4438836
45,10.3245,0.2769,0.0064,Steel,Norsk Stål Trondheim,63.4384474,10.40994
46,5.2154,0.2932,0.0072,Timber,XL-BYGG Lade,63.4423683,10.4438836
47,4.3841,0.2198,0.004,Timber,XL-BYGG Lade,63.4423683,10.4438836
48,2.9874,0.2003,0.0033,Steel,Norsk Stål Trondheim,63.4384474,10.40994
49,8.9439,0.2526,0.0053,Timber,XL-BYGG Lade,63.4423683,10.4438836
