,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,3.21,0.00239,1.32e-05,Steel,0,0,0
1,6.85,0.00239,1.32e-05,Steel,0,0,0
2,5.18,0.00239,1.32e-05,Steel,0,0,0
3,8.72,0.00164,5.41e-06,Steel,0,0,0
4,2.04,0.034704249825953354,0.00010036541299851528,Timber,0,0,0
5,1.05,0.01820337143879769,2.7613560978236284e-05,Timber,0,0,0
6,3.19,0.00459,5.79e-05,Steel,0,0,0
7,7.28,0.00103,1.71e-06,Steel,0,0,0
8,2.23,0.03143436909459678,8.23432966979451e-05,Timber,0,0,0
9,1.03,0.00538,8.36e-05,Steel,0,0,0
10,1.45,0.00239,1.32e-05,Steel,0,0,0
11,9.67,0.0213595934561928,3.801935271781952e-05,Timber,0,0,0
12,5.15,0.00334,2.77e-05,Steel,0,0,0
13,3.88,0.004453567496842353,1.6528552874108887e-06,Timber,0,0,0
14,5.2,0.019915183102306784,3.305120983320047e-05,Timber,0,0,0
15,4.16,0.00164,5.41e-06,Steel,0,0,0
16,7.63,0.00239,1.32e-05,Steel,0,0,0
17,1.65,0.008144745626445717,5.528073443292219e-06,Timber,0,0,0
18,8.09,0.039555649773318574,0.00013038745241578648,Timber,0,0,0
19,7.06,0.00459,5.79e-05,Steel,0,0,0
20,6.9,0.012299950448358493,1.2607398419339524e-05,Timber,0,0,0
21,8.04,0.00201,8.69e-06,Steel,0,0,0
22,2.74,0.007539674368728842,4.7372241322055554e-06,Timber,0,0,0
23,9.81,0.00164,5.41e-06,Steel,0,0,0
24,1.65,0.029720374285412913,7.360838730541943e-05,Timber,0,0,0
25,3.75,0.00164,5.41e-06,Steel,0,0,0
26,3.22,0.03771055408289155,0.00011850715743655736,Timber,0,0,0
27,9.74,0.00201,8.69e-06,Steel,0,0,0
28,1.16,0.00239,1.32e-05,Steel,0,0,0
29,9.3,0.03796989498663271,0.00012014274377465965,Timber,0,0,0
30,6.23,0.015850888498684657,2.0937555516477795e-05,Timber,0,0,0
31,4.27,0.00334,2.77e-05,Steel,0,0,0
32,4.03,0.00334,2.77e-05,Steel,0,0,0
33,7.02,0.00459,5.79e-05,Steel,0,0,0
34,7.52,0.03401870277951016,9.643934490005436e-05,Timber,0,0,0
35,4.71,0.012448517426393529,1.291379884293528e-05,Timber,0,0,0
36,4.16,0.013697734295692066,1.5635660402948217e-05,Timber,0,0,0
37,3.74,0.008413830781181054,5.899379034529149e-06,Timber,0,0,0
38,5.61,0.0121070169225489,1.2214988230240453e-05,Timber,0,0,0
39,3.76,0.00201,8.69e-06,Steel,0,0,0
40,6.52,0.038524492881362865,0.00012367804598051484,Timber,0,0,0
41,6.28,0.00334,2.77e-05,Steel,0,0,0
42,1.37,0.00201,8.69e-06,Steel,0,0,0
43,9.63,0.00334,2.77e-05,Steel,0,0,0
44,9.59,0.00103,1.71e-06,Steel,0,0,0
45,3.25,0.00334,2.77e-05,Steel,0,0,0
46,6.37,0.030035576090369408,7.51779859233642e-05,Timber,0,0,0
47,6.73,0.028890571949679096,6.955542896496538e-05,Timber,0,0,0
48,8.33,0.00164,5.41e-06,Steel,0,0,0
49,9.44,0.00538,8.36e-05,Steel,0,0,0
50,8.43,0.037626458720009165,0.00011797919965071282,Timber,0,0,0
51,7.42,0.010782144820237916,9.687887243715277e-06,Timber,0,0,0
52,1.38,0.00164,5.41e-06,Steel,0,0,0
53,6.01,0.00103,1.71e-06,Steel,0,0,0
54,2.74,0.019522170928827146,3.175959648119531e-05,Timber,0,0,0
55,9.37,0.00164,5.41e-06,Steel,0,0,0
56,8.44,0.021603437282086094,3.889237520008561e-05,Timber,0,0,0
57,5.59,0.00334,2.77e-05,Steel,0,0,0
58,4.03,0.00201,8.69e-06,Steel,0,0,0
59,7.53,0.00239,1.32e-05,Steel,0,0,0
60,2.48,0.006375055869152716,3.3867781112348744e-06,Timber,0,0,0
61,1.6,0.00538,8.36e-05,Steel,0,0,0
62,8.98,0.00459,5.79e-05,Steel,0,0,0
63,7.44,0.00459,5.79e-05,Steel,0,0,0
64,9.39,0.00459,5.79e-05,Steel,0,0,0
65,2.48,0.023312896485437558,4.529092854506057e-05,Timber,0,0,0
66,2.79,0.02094751069226154,3.656651701686763e-05,Timber,0,0,0
67,3.49,0.012986335670631899,1.4053742845860537e-05,Timber,0,0,0
68,1.59,0.00459,5.79e-05,Steel,0,0,0
69,9.03,0.030148042737420368,7.574204007477708e-05,Timber,0,0,0
70,2.87,0.00103,1.71e-06,Steel,0,0,0
71,3.23,0.035922285136980855,0.00010753421412187964,Timber,0,0,0
72,4.89,0.022934269375781136,4.38317259834077e-05,Timber,0,0,0
73,5.0,0.020282287904644848,3.428093355390856e-05,Timber,0,0,0
74,4.24,0.00239,1.32e-05,Steel,0,0,0
75,6.09,0.00103,1.71e-06,Steel,0,0,0
76,4.12,0.011699641702223297,1.1406801330033537e-05,Timber,0,0,0
77,4.46,0.00538,8.36e-05,Steel,0,0,0
78,8.26,0.014679850259235709,1.7958166969465225e-05,Timber,0,0,0
79,3.09,0.00164,5.41e-06,Steel,0,0,0
80,7.72,0.011547939308279135,1.1112908522308198e-05,Timber,0,0,0
81,1.4,0.00538,8.36e-05,Steel,0,0,0
82,4.0,0.008612614171338677,6.181426905361983e-06,Timber,0,0,0
83,5.03,0.020613220140870633,3.5408737047999554e-05,Timber,0,0,0
84,9.2,0.022244069733534252,4.123321985919455e-05,Timber,0,0,0
85,1.71,0.00239,1.32e-05,Steel,0,0,0
86,7.26,0.00334,2.77e-05,Steel,0,0,0
87,6.12,0.0332624127759703,9.219900863991935e-05,Timber,0,0,0
88,3.51,0.0356671355522387,0.00010601204654181417,Timber,0,0,0
89,8.03,0.00459,5.79e-05,Steel,0,0,0
90,7.57,0.03994742469055333,0.00013298306161728583,Timber,0,0,0
91,2.51,0.03901571085490313,0.00012685214112611716,Timber,0,0,0
92,7.13,0.03242704478407313,8.762610278569036e-05,Timber,0,0,0
93,8.31,0.032963521409341556,9.054947864200993e-05,Timber,0,0,0
94,8.51,0.00459,5.79e-05,Steel,0,0,0
95,3.03,0.00459,5.79e-05,Steel,0,0,0
96,6.13,0.00334,2.77e-05,Steel,0,0,0
97,9.38,0.014389598575795606,1.7255045597711577e-05,Timber,0,0,0
98,7.8,0.00103,1.71e-06,Steel,0,0,0
99,4.16,0.00164,5.41e-06,Steel,0,0,0
100,7.81,0.00103,1.71e-06,Steel,0,0,0
101,3.26,0.027146094080684732,6.140920198644888e-05,Timber,0,0,0
102,5.46,0.00459,5.79e-05,Steel,0,0,0
103,9.39,0.022965111154155685,4.394969419356049e-05,Timber,0,0,0
104,7.98,0.00201,8.69e-06,Steel,0,0,0
105,4.26,0.02767774691075168,6.383813950463534e-05,Timber,0,0,0
106,2.53,0.00103,1.71e-06,Steel,0,0,0
107,4.88,0.00239,1.32e-05,Steel,0,0,0
108,5.7,0.02812220608881215,6.590487294180193e-05,Timber,0,0,0
109,9.86,0.02796103415097687,6.515161923267456e-05,Timber,0,0,0
110,6.38,0.027152243316636758,6.143702642715379e-05,Timber,0,0,0
111,7.26,0.013654787157490366,1.553776769303032e-05,Timber,0,0,0
112,7.6,0.00201,8.69e-06,Steel,0,0,0
113,8.96,0.023851689446285452,4.740859078683707e-05,Timber,0,0,0
114,8.12,0.015077926947491252,1.8945323419490237e-05,Timber,0,0,0
115,4.22,0.00164,5.41e-06,Steel,0,0,0
116,5.68,0.00201,8.69e-06,Steel,0,0,0
117,6.99,0.008094251392846242,5.4597421342161105e-06,Timber,0,0,0
118,3.75,0.013842962551153701,1.5968967682720314e-05,Timber,0,0,0
119,6.48,0.00334,2.77e-05,Steel,0,0,0
120,3.76,0.038157347874398506,0.00012133193306732201,Timber,0,0,0
121,1.34,0.00239,1.32e-05,Steel,0,0,0
122,8.99,0.00103,1.71e-06,Steel,0,0,0
123,8.24,0.012788646348995592,1.3629122953306522e-05,Timber,0,0,0
124,7.96,0.032540163233133926,8.823851860325007e-05,Timber,0,0,0
125,8.57,0.00201,8.69e-06,Steel,0,0,0
126,4.17,0.01385974815282875,1.6007718238319996e-05,Timber,0,0,0
127,9.15,0.00334,2.77e-05,Steel,0,0,0
128,8.27,0.02031096033983557,3.4377925827197784e-05,Timber,0,0,0
129,8.51,0.031066471419139294,8.042713720301656e-05,Timber,0,0,0
130,9.83,0.00201,8.69e-06,Steel,0,0,0
131,5.37,0.020431022057473217,3.4785555192746424e-05,Timber,0,0,0
132,7.04,0.008173809054134135,5.567596204453764e-06,Timber,0,0,0
133,1.26,0.00164,5.41e-06,Steel,0,0,0
134,3.31,0.00201,8.69e-06,Steel,0,0,0
135,9.62,0.005558427530680234,2.57467638448533e-06,Timber,0,0,0
136,7.04,0.009466796528207207,7.468353042206336e-06,Timber,0,0,0
137,8.98,0.00459,5.79e-05,Steel,0,0,0
138,7.37,0.00164,5.41e-06,Steel,0,0,0
139,8.1,0.013417263897606274,1.5001914208167393e-05,Timber,0,0,0
140,9.24,0.02775670940764422,6.420290976170044e-05,Timber,0,0,0
141,8.57,0.00538,8.36e-05,Steel,0,0,0
142,1.98,0.00164,5.41e-06,Steel,0,0,0
143,9.83,0.00103,1.71e-06,Steel,0,0,0
144,9.45,0.00733129321105235,4.47898834553519e-06,Timber,0,0,0
145,5.67,0.012955318579522892,1.3986689958077587e-05,Timber,0,0,0
146,3.95,0.03246338515214357,8.782261462803465e-05,Timber,0,0,0
147,1.24,0.018813321432981138,2.9495088611722287e-05,Timber,0,0,0
148,9.14,0.012306522814872062,1.2620875316080549e-05,Timber,0,0,0
149,8.3,0.00201,8.69e-06,Steel,0,0,0
150,9.3,0.00239,1.32e-05,Steel,0,0,0
151,3.82,0.03636348243882838,0.000110191904589915,Timber,0,0,0
152,2.82,0.00334,2.77e-05,Steel,0,0,0
153,1.28,0.014609270895355367,1.7785899674489784e-05,Timber,0,0,0
154,6.6,0.03778309829759849,0.00011896354308049916,Timber,0,0,0
155,2.95,0.03145463540314311,8.244950736205533e-05,Timber,0,0,0
156,7.08,0.00239,1.32e-05,Steel,0,0,0
157,2.32,0.00538,8.36e-05,Steel,0,0,0
158,7.04,0.030867751660898907,7.940150771657727e-05,Timber,0,0,0
159,7.96,0.026011061225479342,5.6381275506302906e-05,Timber,0,0,0
160,3.61,0.00103,1.71e-06,Steel,0,0,0
161,5.18,0.00538,8.36e-05,Steel,0,0,0
162,8.22,0.00103,1.71e-06,Steel,0,0,0
163,4.93,0.00239,1.32e-05,Steel,0,0,0
164,2.33,0.00538,8.36e-05,Steel,0,0,0
165,6.84,0.011923566068287523,1.1847618982068133e-05,Timber,0,0,0
