,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,8.09,0.006890985964564741,3.957140630319021e-06,Timber,0,0,0
1,6.16,0.00459,5.79e-05,Steel,0,0,0
2,3.15,0.026488263027685935,5.846900651865613e-05,Timber,0,0,0
3,8.74,0.030241929350133562,7.621452423487247e-05,Timber,0,0,0
4,3.71,0.00459,5.79e-05,Steel,0,0,0
5,3.93,0.00538,8.36e-05,Steel,0,0,0
6,1.78,0.00459,5.79e-05,Steel,0,0,0
7,2.57,0.00164,5.41e-06,Steel,0,0,0
8,8.77,0.00459,5.79e-05,Steel,0,0,0
9,3.45,0.007561749964015438,4.76500520985729e-06,Timber,0,0,0
10,7.78,0.00538,8.36e-05,Steel,0,0,0
11,2.55,0.00164,5.41e-06,Steel,0,0,0
12,1.51,0.014233903076523387,1.688366639932183e-05,Timber,0,0,0
13,5.06,0.012465444836472344,1.2948942914261251e-05,Timber,0,0,0
14,4.1,0.009777706263964077,7.966961648696862e-06,Timber,0,0,0
15,6.93,0.00164,5.41e-06,Steel,0,0,0
16,6.43,0.00103,1.71e-06,Steel,0,0,0
17,1.03,0.026806470945189627,5.98822403779413e-05,Timber,0,0,0
18,2.97,0.0387354124277685,0.00012503601466244351,Timber,0,0,0
19,7.63,0.00334,2.77e-05,Steel,0,0,0
20,2.48,0.00201,8.69e-06,Steel,0,0,0
21,7.74,0.00459,5.79e-05,Steel,0,0,0
22,6.78,0.00239,1.32e-05,Steel,0,0,0
23,3.17,0.00164,5.41e-06,Steel,0,0,0
24,8.12,0.013365693374506693,1.4886813281777675e-05,Timber,0,0,0
25,7.66,0.013114824440377012,1.433321834182585e-05,Timber,0,0,0
26,8.6,0.00334,2.77e-05,Steel,0,0,0
27,7.85,0.016033099202370248,2.142168916942046e-05,Timber,0,0,0
28,8.96,0.01769470210190377,2.609187353959314e-05,Timber,0,0,0
29,8.22,0.00538,8.36e-05,Steel,0,0,0
30,4.08,0.029936220927153825,7.468144361661356e-05,Timber,0,0,0
31,1.19,0.00103,1.71e-06,Steel,0,0,0
32,7.16,0.00334,2.77e-05,Steel,0,0,0
33,9.88,0.00239,1.32e-05,Steel,0,0,0
34,5.79,0.00459,5.79e-05,Steel,0,0,0
35,7.72,0.02661679274292261,5.9037804659974805e-05,Timber,0,0,0
36,7.07,0.004072410342630527,1.3820438332303402e-06,Timber,0,0,0
37,6.66,0.008182644447499478,5.579639179516169e-06,Timber,0,0,0
38,4.2,0.00538,8.36e-05,Steel,0,0,0
39,3.6,0.012284013808927125,1.2574749604826025e-05,Timber,0,0,0
40,6.87,0.014194840919548877,1.6791125727608265e-05,Timber,0,0,0
41,2.59,0.014826501462663243,1.8318762135196275e-05,Timber,0,0,0
42,9.8,0.00103,1.71e-06,Steel,0,0,0
43,1.45,0.00239,1.32e-05,Steel,0,0,0
44,6.31,0.00538,8.36e-05,Steel,0,0,0
45,1.74,0.00164,5.41e-06,Steel,0,0,0
46,8.05,0.00239,1.32e-05,Steel,0,0,0
47,4.52,0.00201,8.69e-06,Steel,0,0,0
48,6.61,0.01600475869381797,2.1346025070611825e-05,Timber,0,0,0
49,6.86,0.023175196796970637,4.475747888152651e-05,Timber,0,0,0
50,7.67,0.01963938794383399,3.214212990070099e-05,Timber,0,0,0
51,1.39,0.00459,5.79e-05,Steel,0,0,0
52,4.79,0.00334,2.77e-05,Steel,0,0,0
53,4.06,0.03597463233460295,0.00010784784763415499,Timber,0,0,0
54,3.8,0.00103,1.71e-06,Steel,0,0,0
55,3.28,0.02076230568192098,3.5922778102460684e-05,Timber,0,0,0
56,9.03,0.00201,8.69e-06,Steel,0,0,0
57,1.65,0.00164,5.41e-06,Steel,0,0,0
58,9.93,0.00459,5.79e-05,Steel,0,0,0
59,9.45,0.031372813448012085,8.202111863698066e-05,Timber,0,0,0
60,9.48,0.031521550719786906,8.280067998167487e-05,Timber,0,0,0
61,6.72,0.00239,1.32e-05,Steel,0,0,0
62,1.39,0.00201,8.69e-06,Steel,0,0,0
63,1.74,0.00239,1.32e-05,Steel,0,0,0
64,7.72,0.036160291034931874,0.00010896388731091454,Timber,0,0,0
65,3.71,0.03653471907321376,0.00011123214147988745,Timber,0,0,0
66,4.25,0.00538,8.36e-05,Steel,0,0,0
67,8.27,0.00459,5.79e-05,Steel,0,0,0
68,9.36,0.00201,8.69e-06,Steel,0,0,0
69,6.6,0.027335265205348812,6.226806032056279e-05,Timber,0,0,0
70,2.44,0.02580185641135003,5.547798285599371e-05,Timber,0,0,0
71,3.09,0.00538,8.36e-05,Steel,0,0,0
72,9.89,0.00103,1.71e-06,Steel,0,0,0
73,9.5,0.024718244230317925,5.091596648580378e-05,Timber,0,0,0
74,7.41,0.007744917154410426,4.99864514405674e-06,Timber,0,0,0
75,9.19,0.031100291814025398,8.06023459097946e-05,Timber,0,0,0
