,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,4.98,0.00239,1.32e-05,Steel,Støren,63.033639,10.286356
1,9.79,0.031036514928724276,8.027210491007707e-05,Timber,Meråker,63.415312,11.747262
2,7.75,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
3,4.35,0.0384364221521524,0.0001231132123215393,Timber,Steinkjer,64.024861,11.4891085
4,3.77,0.00334,2.77e-05,Steel,Støren,63.033639,10.286356
5,4.23,0.00103,1.71e-06,Steel,Orkanger,63.3000,9.8468
6,5.93,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
7,7.24,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
8,6.76,0.00538,8.36e-05,Steel,Melhus,63.2897753,10.2934154
9,6.45,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
10,2.11,0.00103,1.71e-06,Steel,Melhus,63.2897753,10.2934154
11,1.43,0.00459,5.79e-05,Steel,Orkanger,63.3000,9.8468
12,4.93,0.006676234968334003,3.7143427793671435e-06,Timber,Steinkjer,64.024861,11.4891085
13,2.37,0.028672202316058153,6.850793213774755e-05,Timber,Oppdal,62.5995283,9.6884582
14,6.23,0.01187773499543413,1.1756715718480053e-05,Timber,Meråker,63.415312,11.747262
15,6.12,0.027211321491616144,6.170466811000756e-05,Timber,Melhus,63.2897753,10.2934154
16,5.16,0.00538,8.36e-05,Steel,Steinkjer,64.024861,11.4891085
17,1.9,0.00334,2.77e-05,Steel,Støren,63.033639,10.286356
18,4.13,0.034686642138441234,0.00010026359523669058,Timber,Orkanger,63.3000,9.8468
19,1.74,0.00201,8.69e-06,Steel,Steinkjer,64.024861,11.4891085
20,9.99,0.00103,1.71e-06,Steel,Oppdal,62.5995283,9.6884582
21,7.26,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
22,9.59,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
23,5.22,0.025410096262861108,5.3806082673989006e-05,Timber,Meråker,63.415312,11.747262
24,6.49,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
25,4.14,0.00334,2.77e-05,Steel,Orkanger,63.3000,9.8468
26,2.4,0.00201,8.69e-06,Steel,Steinkjer,64.024861,11.4891085
27,9.82,0.005030996816145292,2.109244080338672e-06,Timber,Steinkjer,64.024861,11.4891085
28,9.42,0.00538,8.36e-05,Steel,Støren,63.033639,10.286356
29,4.43,0.025425458325003765,5.387116091970861e-05,Timber,Oppdal,62.5995283,9.6884582
30,1.99,0.03566191278934418,0.00010598100198289914,Timber,Meråker,63.415312,11.747262
31,1.7,0.022658649349151207,4.2784532527315866e-05,Timber,Orkanger,63.3000,9.8468
32,4.32,0.012458271540421974,1.2934044147907344e-05,Timber,Orkanger,63.3000,9.8468
33,8.16,0.02438424969841044,4.954930277953581e-05,Timber,Oppdal,62.5995283,9.6884582
34,1.36,0.00239,1.32e-05,Steel,Meråker,63.415312,11.747262
35,2.29,0.005233014532090707,2.282036757756043e-06,Timber,Oppdal,62.5995283,9.6884582
36,1.15,0.00164,5.41e-06,Steel,Meråker,63.415312,11.747262
37,3.8,0.010900731642078398,9.902162527717433e-06,Timber,Melhus,63.2897753,10.2934154
38,6.02,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
39,4.51,0.00201,8.69e-06,Steel,Oppdal,62.5995283,9.6884582
40,2.79,0.00239,1.32e-05,Steel,Støren,63.033639,10.286356
41,4.52,0.005516271616531538,2.5357710456126223e-06,Timber,Melhus,63.2897753,10.2934154
42,7.42,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
43,5.3,0.02164127447978528,3.902873009245047e-05,Timber,Støren,63.033639,10.286356
44,3.03,0.012158532270498066,1.2319158914395237e-05,Timber,Støren,63.033639,10.286356
45,5.85,0.019763438967729044,3.254945998592924e-05,Timber,Orkanger,63.3000,9.8468
46,8.22,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
47,4.04,0.02746951247832649,6.288117631641123e-05,Timber,Orkanger,63.3000,9.8468
48,7.25,0.00103,1.71e-06,Steel,Orkanger,63.3000,9.8468
49,8.88,0.027804034532539285,6.442202802388642e-05,Timber,Oppdal,62.5995283,9.6884582
50,5.78,0.029046120886236617,7.030642821148924e-05,Timber,Orkanger,63.3000,9.8468
51,6.89,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
52,7.87,0.00334,2.77e-05,Steel,Steinkjer,64.024861,11.4891085
53,8.51,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
54,1.85,0.00239,1.32e-05,Steel,Støren,63.033639,10.286356
55,7.04,0.00239,1.32e-05,Steel,Meråker,63.415312,11.747262
56,2.13,0.00103,1.71e-06,Steel,Orkanger,63.3000,9.8468
57,7.18,0.00459,5.79e-05,Steel,Orkanger,63.3000,9.8468
58,8.23,0.015904761440794224,2.1080119707381233e-05,Timber,Oppdal,62.5995283,9.6884582
59,5.93,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
60,1.47,0.00201,8.69e-06,Steel,Melhus,63.2897753,10.2934154
61,7.53,0.007241072143908489,4.369427149440623e-06,Timber,Meråker,63.415312,11.747262
62,5.3,0.021880113840159733,3.989494847152913e-05,Timber,Melhus,63.2897753,10.2934154
63,3.11,0.01829773938579246,2.790060555253172e-05,Timber,Oppdal,62.5995283,9.6884582
64,9.17,0.00239,1.32e-05,Steel,Oppdal,62.5995283,9.6884582
65,4.1,0.01828738113960038,2.786902574541765e-05,Timber,Steinkjer,64.024861,11.4891085
66,2.86,0.00164,5.41e-06,Steel,Melhus,63.2897753,10.2934154
67,8.96,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
68,2.25,0.00459,5.79e-05,Steel,Orkanger,63.3000,9.8468
69,7.36,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
70,4.22,0.00459,5.79e-05,Steel,Melhus,63.2897753,10.2934154
71,8.83,0.025353015877814262,5.3564617841725166e-05,Timber,Meråker,63.415312,11.747262
72,6.3,0.0072209224962018394,4.345143474679483e-06,Timber,Meråker,63.415312,11.747262
73,9.5,0.00538,8.36e-05,Steel,Melhus,63.2897753,10.2934154
74,2.82,0.01380599307132352,1.5883787057119423e-05,Timber,Meråker,63.415312,11.747262
75,6.91,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
76,6.57,0.024235041876416123,4.8944771229303596e-05,Timber,Oppdal,62.5995283,9.6884582
77,2.76,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
78,8.8,0.00239,1.32e-05,Steel,Meråker,63.415312,11.747262
79,4.3,0.00201,8.69e-06,Steel,Steinkjer,64.024861,11.4891085
80,6.64,0.00334,2.77e-05,Steel,Melhus,63.2897753,10.2934154
81,9.25,0.00103,1.71e-06,Steel,Melhus,63.2897753,10.2934154
82,1.09,0.014692210629948898,1.798842109956528e-05,Timber,Orkanger,63.3000,9.8468
83,3.22,0.024519552007427826,5.010070255374649e-05,Timber,Oppdal,62.5995283,9.6884582
84,9.11,0.00239,1.32e-05,Steel,Oppdal,62.5995283,9.6884582
85,3.46,0.00239,1.32e-05,Steel,Oppdal,62.5995283,9.6884582
86,8.26,0.00459,5.79e-05,Steel,Orkanger,63.3000,9.8468
87,5.62,0.00164,5.41e-06,Steel,Steinkjer,64.024861,11.4891085
88,5.52,0.00459,5.79e-05,Steel,Støren,63.033639,10.286356
89,3.37,0.00334,2.77e-05,Steel,Støren,63.033639,10.286356
90,9.55,0.016504634370194043,2.270024630781588e-05,Timber,Støren,63.033639,10.286356
91,8.35,0.00164,5.41e-06,Steel,Steinkjer,64.024861,11.4891085
92,5.15,0.0156313032523938,2.036147011402475e-05,Timber,Orkanger,63.3000,9.8468
93,1.79,0.00459,5.79e-05,Steel,Støren,63.033639,10.286356
94,2.11,0.00334,2.77e-05,Steel,Melhus,63.2897753,10.2934154
95,1.1,0.00239,1.32e-05,Steel,Steinkjer,64.024861,11.4891085
96,7.95,0.021886297633422622,3.9917502008230054e-05,Timber,Orkanger,63.3000,9.8468
97,8.04,0.00103,1.71e-06,Steel,Oppdal,62.5995283,9.6884582
98,8.45,0.03454007656286619,9.941807408072151e-05,Timber,Melhus,63.2897753,10.2934154
99,2.97,0.02633992151331018,5.781595544394504e-05,Timber,Meråker,63.415312,11.747262
