,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,8.31,0.02671497778605497,5.947416984245087e-05,Timber,Melhus,63.2897753,10.2934154
1,4.25,0.008878902735925167,6.569576149501619e-06,Timber,Meråker,63.415312,11.747262
2,8.7,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
3,3.02,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
4,1.91,0.00459,5.79e-05,Steel,Berkåk,62.8238946,9.9934341
5,3.26,0.03927410122487106,0.00012853791891845152,Timber,Steinkjer,64.024861,11.4891085
6,4.39,0.03677350618037531,0.00011269089639984176,Timber,Støren,63.033639,10.286356
7,6.74,0.00538,8.36e-05,Steel,Støren,63.033639,10.286356
8,4.08,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
9,7.87,0.00459,5.79e-05,Steel,Orkanger,63.3000,9.8468
10,2.5,0.026728357286980524,5.9533756938373737e-05,Timber,Berkåk,62.8238946,9.9934341
11,7.3,0.03793444002924798,0.00011991847836105095,Timber,Steinkjer,64.024861,11.4891085
12,2.05,0.00201,8.69e-06,Steel,Berkåk,62.8238946,9.9934341
13,3.74,0.00103,1.71e-06,Steel,Orkanger,63.3000,9.8468
14,1.68,0.00164,5.41e-06,Steel,Støren,63.033639,10.286356
15,2.53,0.00334,2.77e-05,Steel,Orkanger,63.3000,9.8468
16,4.34,0.00538,8.36e-05,Steel,Orkanger,63.3000,9.8468
17,2.09,0.00164,5.41e-06,Steel,Berkåk,62.8238946,9.9934341
18,3.89,0.00334,2.77e-05,Steel,Berkåk,62.8238946,9.9934341
19,2.76,0.03254487873942902,8.826409434701156e-05,Timber,Berkåk,62.8238946,9.9934341
20,8.34,0.022486962625567545,4.213862401030597e-05,Timber,Berkåk,62.8238946,9.9934341
21,3.53,0.00459,5.79e-05,Steel,Steinkjer,64.024861,11.4891085
22,3.39,0.00164,5.41e-06,Steel,Steinkjer,64.024861,11.4891085
23,6.13,0.00538,8.36e-05,Steel,Melhus,63.2897753,10.2934154
24,5.67,0.00334,2.77e-05,Steel,Melhus,63.2897753,10.2934154
25,4.91,0.00103,1.71e-06,Steel,Steinkjer,64.024861,11.4891085
26,1.21,0.010664478575170597,9.477591940022724e-06,Timber,Orkanger,63.3000,9.8468
27,3.14,0.00103,1.71e-06,Steel,Melhus,63.2897753,10.2934154
28,2.09,0.00239,1.32e-05,Steel,Orkanger,63.3000,9.8468
29,3.59,0.00103,1.71e-06,Steel,Meråker,63.415312,11.747262
30,6.29,0.00201,8.69e-06,Steel,Orkanger,63.3000,9.8468
31,3.6,0.012214881935405781,1.2433611724658539e-05,Timber,Melhus,63.2897753,10.2934154
32,3.31,0.00103,1.71e-06,Steel,Orkanger,63.3000,9.8468
33,7.6,0.007267025950070704,4.400805513250085e-06,Timber,Støren,63.033639,10.286356
34,4.59,0.00538,8.36e-05,Steel,Berkåk,62.8238946,9.9934341
35,9.04,0.022412735320286047,4.186089204476648e-05,Timber,Støren,63.033639,10.286356
36,2.0,0.00459,5.79e-05,Steel,Berkåk,62.8238946,9.9934341
37,1.28,0.00538,8.36e-05,Steel,Støren,63.033639,10.286356
38,4.49,0.00459,5.79e-05,Steel,Meråker,63.415312,11.747262
39,2.57,0.017880290745111646,2.6642066427477095e-05,Timber,Meråker,63.415312,11.747262
40,2.15,0.027284886495463432,6.203875258919357e-05,Timber,Meråker,63.415312,11.747262
41,1.7,0.024423926875614344,4.971068366877972e-05,Timber,Melhus,63.2897753,10.2934154
42,4.18,0.00201,8.69e-06,Steel,Melhus,63.2897753,10.2934154
43,3.72,0.00164,5.41e-06,Steel,Orkanger,63.3000,9.8468
44,2.94,0.026376556392136465,5.7976893925629586e-05,Timber,Berkåk,62.8238946,9.9934341
45,2.43,0.013865653451474067,1.6021362136364557e-05,Timber,Melhus,63.2897753,10.2934154
46,5.32,0.03775845783399717,0.00011880842816681187,Timber,Meråker,63.415312,11.747262
47,6.84,0.00459,5.79e-05,Steel,Meråker,63.415312,11.747262
48,1.17,0.00164,5.41e-06,Steel,Melhus,63.2897753,10.2934154
49,9.94,0.03705275303675179,0.00011440887563354325,Timber,Meråker,63.415312,11.747262
50,9.26,0.00334,2.77e-05,Steel,Orkanger,63.3000,9.8468
51,8.45,0.02937982767790799,7.193118953196404e-05,Timber,Støren,63.033639,10.286356
52,6.91,0.02335410808785475,4.545119704826688e-05,Timber,Berkåk,62.8238946,9.9934341
53,5.43,0.00459,5.79e-05,Steel,Meråker,63.415312,11.747262
54,4.18,0.00538,8.36e-05,Steel,Meråker,63.415312,11.747262
55,8.96,0.00103,1.71e-06,Steel,Meråker,63.415312,11.747262
56,4.68,0.00201,8.69e-06,Steel,Berkåk,62.8238946,9.9934341
57,1.6,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
58,3.93,0.017199426853553725,2.4651690340895415e-05,Timber,Melhus,63.2897753,10.2934154
59,6.87,0.00239,1.32e-05,Steel,Støren,63.033639,10.286356
60,1.16,0.00201,8.69e-06,Steel,Melhus,63.2897753,10.2934154
61,8.51,0.02228052970562846,4.136850033028268e-05,Timber,Steinkjer,64.024861,11.4891085
62,8.51,0.032702471647044054,8.912097098547669e-05,Timber,Orkanger,63.3000,9.8468
63,6.49,0.00201,8.69e-06,Steel,Støren,63.033639,10.286356
64,1.41,0.00334,2.77e-05,Steel,Melhus,63.2897753,10.2934154
65,3.3,0.029489390404702918,7.246867887008204e-05,Timber,Meråker,63.415312,11.747262
66,4.0,0.00103,1.71e-06,Steel,Støren,63.033639,10.286356
67,4.08,0.007645824612746797,4.871552834073726e-06,Timber,Støren,63.033639,10.286356
68,5.17,0.00201,8.69e-06,Steel,Steinkjer,64.024861,11.4891085
69,2.67,0.00459,5.79e-05,Steel,Melhus,63.2897753,10.2934154
