,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,3.5109,0.2859,0.0068,Steel,Storlien,63.3160,12.1018
1,8.4813,0.2166,0.0039,Timber,Tiller,63.3604,10.4008
2,7.6916,0.2143,0.0038,Steel,Tiller,63.3604,10.4008
3,10.82,0.2059,0.0035,Steel,Orkanger,63.3000,9.8468
4,2.7687,0.269,0.006,Steel,Tiller,63.3604,10.4008
5,5.7802,0.2899,0.007,Steel,Gjovik,60.8941,10.5001
6,7.8111,0.2673,0.006,Timber,Gjovik,60.8941,10.5001
7,6.3557,0.271,0.0061,Timber,Orkanger,63.3000,9.8468
8,2.9962,0.2504,0.0052,Timber,Gjovik,60.8941,10.5001
9,4.6398,0.2834,0.0067,Timber,Gjovik,60.8941,10.5001
