,Substitutions
D0,N0
D1,N1
D2,N2
D3,N3
D4,S154
D5,S583
D6,N6
D7,N7
D8,S654
D9,N9
D10,N10
D11,N11
D12,N12
D13,N13
D14,N14
D15,N15
D16,N16
D17,N17
D18,N18
D19,N19
D20,N20
D21,N21
D22,N22
D23,N23
D24,N24
D25,N25
D26,S859
D27,N27
D28,N28
D29,N29
D30,N30
D31,N31
D32,N32
D33,N33
D34,N34
D35,S273
D36,N36
D37,N37
D38,N38
D39,N39
D40,N40
D41,N41
D42,N42
D43,N43
D44,N44
D45,N45
D46,S258
D47,S349
D48,N48
D49,N49
D50,N50
D51,S226
D52,N52
D53,N53
D54,S229
D55,N55
D56,N56
D57,N57
D58,N58
D59,N59
D60,S398
D61,N61
D62,N62
D63,N63
D64,N64
D65,S582
D66,S992
D67,N67
D68,N68
D69,N69
D70,N70
D71,S351
D72,S466
D73,S635
D74,N74
D75,N75
D76,S880
D77,N77
D78,N78
D79,N79
D80,N80
D81,N81
D82,N82
D83,N83
D84,N84
D85,N85
D86,N86
D87,S548
D88,N88
D89,N89
D90,N90
D91,S691
D92,N92
D93,N93
D94,N94
D95,N95
D96,N96
D97,N97
D98,N98
D99,N99
D100,N100
D101,S281
D102,N102
D103,N103
D104,N104
D105,S822
D106,N106
D107,N107
D108,N108
D109,N109
D110,N110
D111,N111
D112,N112
D113,N113
D114,N114
D115,N115
D116,N116
D117,N117
D118,N118
D119,N119
D120,S374
D121,N121
D122,N122
D123,N123
D124,S175
D125,N125
D126,N126
D127,N127
D128,N128
D129,N129
D130,N130
D131,N131
D132,N132
D133,N133
D134,N134
D135,N135
D136,N136
D137,N137
D138,N138
D139,N139
D140,N140
D141,N141
D142,N142
D143,N143
D144,N144
D145,N145
D146,N146
D147,S278
D148,N148
D149,N149
D150,N150
D151,S790
D152,N152
D153,S899
D154,S302
D155,S470
D156,N156
D157,N157
D158,N158
D159,N159
D160,N160
D161,N161
D162,N162
D163,N163
D164,N164
D165,N165
D166,N166
D167,N167
D168,N168
D169,S86
D170,N170
D171,N171
D172,N172
D173,N173
D174,N174
D175,N175
