,Substitutions
D0,S57
D1,S0
D2,N2
D3,S96
D4,S46
D5,S11
D6,S14
D7,N7
D8,S95
D9,N9
D10,S50
D11,S51
D12,N12
D13,N13
D14,S44
D15,N15
D16,S20
D17,S72
D18,S43
D19,S33
D20,S45
D21,S69
D22,S6
D23,S29
D24,S39
D25,S30
D26,S18
D27,N27
D28,N28
D29,S62
D30,S61
D31,S93
D32,S60
D33,S85
D34,N34
D35,S94
D36,S5
D37,N37
D38,S17
D39,N39
D40,N40
D41,S92
D42,S86
D43,S70
D44,S56
D45,S42
D46,N46
D47,S38
D48,S10
D49,S67
D50,S37
D51,S64
D52,S47
D53,S55
D54,N54
D55,S41
D56,N56
D57,N57
D58,S78
D59,S84
D60,S66
D61,S16
D62,N62
D63,S3
D64,N64
D65,S25
D66,S76
D67,S27
D68,N68
D69,S22
D70,S13
D71,S63
D72,S90
D73,S53
D74,S91
D75,S80
D76,N76
D77,S19
D78,S98
D79,S54
D80,N80
D81,S35
D82,S87
D83,S2
D84,S31
D85,N85
D86,S4
D87,S58
D88,S71
D89,N89
D90,S74
D91,S8
D92,N92
D93,S24
D94,S1
D95,S28
D96,S83
D97,S79
D98,S75
D99,S81
