,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
D0,4.99,0.00239,1.32e-05,Steel,0,0,0
D1,5.74,0.00239,1.32e-05,Steel,0,0,0
D2,7.25,0.00239,1.32e-05,Steel,0,0,0
D3,2.67,0.00164,5.41e-06,Steel,0,0,0
D4,6.24,0.004654900815613491,1.805675133599928e-06,Timber,0,0,0
D5,3.38,0.01021231767106014,8.69095268455394e-06,Timber,0,0,0
D6,1.9,0.03185982166049142,8.458735301985987e-05,Timber,0,0,0
D7,8.3,0.0182946115966656,2.789106778940429e-05,Timber,0,0,0
D8,3.83,0.03104050498542304,8.029274581250606e-05,Timber,0,0,0
D9,4.24,0.009266469410119126,7.155621277389458e-06,Timber,0,0,0
D10,4.2,0.00239,1.32e-05,Steel,0,0,0
D11,5.77,0.00334,2.77e-05,Steel,0,0,0
D12,9.0,0.03244646859945077,8.773111038126209e-05,Timber,0,0,0
D13,5.95,0.01020463413977138,8.67787982721563e-06,Timber,0,0,0
D14,7.5,0.00239,1.32e-05,Steel,0,0,0
D15,9.25,0.02718968746940759,6.1606592057005e-05,Timber,0,0,0
D16,9.22,0.00201,8.69e-06,Steel,0,0,0
D17,4.47,0.00201,8.69e-06,Steel,0,0,0
D18,3.59,0.02969390874467835,7.347735137810711e-05,Timber,0,0,0
D19,9.18,0.00334,2.77e-05,Steel,0,0,0
D20,1.49,0.01473265024693114,1.808758194153334e-05,Timber,0,0,0
D21,1.2,0.00538,8.36e-05,Steel,0,0,0
D22,5.22,0.00103,1.71e-06,Steel,0,0,0
D23,9.12,0.02599303233165869,5.630314414955448e-05,Timber,0,0,0
D24,4.0,0.00334,2.77e-05,Steel,0,0,0
D25,8.19,0.00164,5.41e-06,Steel,0,0,0
D26,8.33,0.00538,8.36e-05,Steel,0,0,0
D27,5.83,0.03272329688679337,8.923451326176841e-05,Timber,0,0,0
D28,4.62,0.00201,8.69e-06,Steel,0,0,0
D29,2.5,0.00239,1.32e-05,Steel,0,0,0
D30,7.37,0.009604240354744997,7.686786065976025e-06,Timber,0,0,0
D31,2.31,0.031187505665477,8.105504246951331e-05,Timber,0,0,0
D32,2.61,0.00201,8.69e-06,Steel,0,0,0
D33,3.47,0.009400523844008109,7.364154045147083e-06,Timber,0,0,0
D34,8.67,0.00103,1.71e-06,Steel,0,0,0
D35,1.38,0.03342497617325504,9.310241934855563e-05,Timber,0,0,0
D36,9.73,0.02657241076094548,5.884108447070095e-05,Timber,0,0,0
D37,7.29,0.03876111486047484,0.0001252020021022436,Timber,0,0,0
D38,8.76,0.00334,2.77e-05,Steel,0,0,0
D39,4.42,0.00239,1.32e-05,Steel,0,0,0
D40,5.95,0.00201,8.69e-06,Steel,0,0,0
D41,7.2,0.00459,5.79e-05,Steel,0,0,0
D42,4.42,0.00459,5.79e-05,Steel,0,0,0
D43,5.34,0.00201,8.69e-06,Steel,0,0,0
D44,2.55,0.00538,8.36e-05,Steel,0,0,0
D45,7.44,0.03509467482494061,0.0001026363500890267,Timber,0,0,0
D46,1.0,0.03087191883284016,7.942294770178922e-05,Timber,0,0,0
D47,5.23,0.00334,2.77e-05,Steel,0,0,0
