,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
S0,9.0,0.01289960832894665,1.386665792001916e-05,Timber,Vinjeøra,63.206995,8.997224
S1,5.81,0.02466545361714859,5.069871684497569e-05,Timber,Berkåk,62.8238946,9.9934341
S2,9.2,0.03377607641799392,9.506861151618042e-05,Timber,Dombås,62.073208,9.121031
S3,9.83,0.02463275653075069,5.056439119193674e-05,Timber,Vinjeøra,63.206995,8.997224
S4,3.05,0.01202298981886846,1.204602368205122e-05,Timber,Meråker,63.415312,11.747262
S5,6.04,0.00164,5.41e-06,Steel,Vinjeøra,63.206995,8.997224
S6,8.44,0.02086815484403607,3.628999054955552e-05,Timber,Meråker,63.415312,11.747262
S7,5.23,0.00164,5.41e-06,Steel,Steinkjer,64.024861,11.4891085
S8,9.93,0.03344346251093071,9.32054320600023e-05,Timber,Steinkjer,64.024861,11.4891085
S9,2.63,0.01415672657804381,1.670107561712433e-05,Timber,Vinjeøra,63.206995,8.997224
S10,1.22,0.00239,1.32e-05,Steel,Vinjeøra,63.206995,8.997224
S11,1.55,0.009071153013616898,6.85715141637091e-06,Timber,Dombås,62.073208,9.121031
S12,8.38,0.00334,2.77e-05,Steel,Meråker,63.415312,11.747262
S13,2.53,0.02058624119054626,3.531611052961195e-05,Timber,Berkåk,62.8238946,9.9934341
S14,2.53,0.02496271500148735,5.19280950204568e-05,Timber,Meråker,63.415312,11.747262
S15,7.97,0.03452991175080945,9.93595671265574e-05,Timber,Steinkjer,64.024861,11.4891085
S16,5.26,0.00459,5.79e-05,Steel,Meråker,63.415312,11.747262
S17,9.2,0.00538,8.36e-05,Steel,Namsos,64.4675884,11.501161
S18,7.15,0.00164,5.41e-06,Steel,Vinjeøra,63.206995,8.997224
S19,2.68,0.00334,2.77e-05,Steel,Namsos,64.4675884,11.501161
S20,9.2,0.00103,1.71e-06,Steel,Namsos,64.4675884,11.501161
S21,8.32,0.03115405982584428,8.088128696935702e-05,Timber,Steinkjer,64.024861,11.4891085
S22,1.32,0.007231616808736023,4.358023472366116e-06,Timber,Vinjeøra,63.206995,8.997224
S23,4.89,0.00164,5.41e-06,Steel,Dombås,62.073208,9.121031
S24,4.42,0.00164,5.41e-06,Steel,Namsos,64.4675884,11.501161
S25,2.4,0.02999115318745693,7.4955772459459e-05,Timber,Steinkjer,64.024861,11.4891085
S26,1.66,0.02032778675558446,3.443490953170957e-05,Timber,Meråker,63.415312,11.747262
S27,7.45,0.02446818993922533,4.989102657516732e-05,Timber,Namsos,64.4675884,11.501161
S28,9.67,0.02229935274340851,4.143842773124673e-05,Timber,Namsos,64.4675884,11.501161
S29,2.69,0.00239,1.32e-05,Steel,Vinjeøra,63.206995,8.997224
S30,9.9,0.00239,1.32e-05,Steel,Meråker,63.415312,11.747262
S31,8.83,0.02974858149657061,7.37481750881753e-05,Timber,Namsos,64.4675884,11.501161
S32,8.95,0.00103,1.71e-06,Steel,Vinjeøra,63.206995,8.997224
S33,8.91,0.004018288499873249,1.3455535390178e-06,Timber,Dombås,62.073208,9.121031
S34,3.07,0.00239,1.32e-05,Steel,Vinjeøra,63.206995,8.997224
