,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,1.71,0.2925330207236583,0.0071312973511423565,Timber,0,0,0
1,9.97,0.21529626993272144,0.003862706987245271,Timber,0,0,0
2,2.17,0.00164,5.41e-06,Steel,0,0,0
3,7.26,0.00201,8.69e-06,Steel,0,0,0
4,2.1,0.21469647897990823,0.0038412148405308484,Timber,0,0,0
5,1.01,0.25682546745733664,0.00549661006122329,Timber,0,0,0
6,9.42,0.1610644146760936,0.0021618121395793857,Timber,0,0,0
7,1.15,0.2528931772898338,0.005329579926645608,Timber,0,0,0
8,3.04,0.15339866877720243,0.0019609292985514884,Timber,0,0,0
9,5.25,0.00103,1.71e-06,Steel,0,0,0
