,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,9.28,0.00334,2.77e-05,Steel,Gjovik,60.8941,10.5001
1,8.19,0.1893479330549463,0.0029877199793483683,Timber,Storlien,63.3160,12.1018
2,9.33,0.2304234887844403,0.004424582015299424,Timber,Storlien,63.3160,12.1018
3,8.3,0.29273287747622845,0.007141044796292715,Timber,Tiller,63.3604,10.4008
4,1.39,0.2871966376449907,0.006873492389549007,Timber,Gjovik,60.8941,10.5001
5,2.82,0.1693910127884734,0.0023911096011253966,Timber,Orkanger,63.3000,9.8468
6,3.3,0.00334,2.77e-05,Steel,Gjovik,60.8941,10.5001
7,7.83,0.16110170464648693,0.002162813270000326,Timber,Gjovik,60.8941,10.5001
8,9.65,0.25253643604463827,0.005314554294177307,Timber,Tiller,63.3604,10.4008
9,3.54,0.00239,1.32e-05,Steel,Orkanger,63.3000,9.8468
