,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,3.64,0.00103,1.71e-06,Steel,0,0,0
1,4.85,0.00334,2.77e-05,Steel,0,0,0
2,1.85,0.00334,2.77e-05,Steel,0,0,0
3,2.48,0.2702056869206727,0.006084259437022716,Timber,0,0,0
4,5.07,0.22091162218958293,0.004066828734869419,Timber,0,0,0
5,8.34,0.26060398397918644,0.005659536372152004,Timber,0,0,0
6,9.54,0.00103,1.71e-06,Steel,0,0,0
7,6.72,0.27548075638237124,0.006324137261416948,Timber,0,0,0
8,1.16,0.16669348813246831,0.0023155599154807793,Timber,0,0,0
9,6.06,0.18396420392348284,0.002820235693766732,Timber,0,0,0
