,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,1.61,0.00201,8.69e-06,Steel,Orkanger,63.3000,9.8468
1,6.91,0.00239,1.32e-05,Steel,Tiller,63.3604,10.4008
2,1.43,0.00103,1.71e-06,Steel,Storlien,63.3160,12.1018
3,5.97,0.21944709548302138,0.004013085642994525,Timber,Orkanger,63.3000,9.8468
4,3.34,0.00538,8.36e-05,Steel,Storlien,63.3160,12.1018
5,7.06,0.00239,1.32e-05,Steel,Tiller,63.3604,10.4008
6,3.6,0.1960950863738674,0.0032044402416645437,Timber,Gjovik,60.8941,10.5001
7,2.17,0.00538,8.36e-05,Steel,Tiller,63.3604,10.4008
8,7.31,0.22390606004317304,0.004177826977004751,Timber,Storlien,63.3160,12.1018
9,1.42,0.00538,8.36e-05,Steel,Tiller,63.3604,10.4008
