,Length,Area,Moment of Inertia,Material,Manufacturer,Latitude,Longitude
0,1.35,0.2237401445555588,0.004171637690478528,Timber,0,0,0
1,9.3,0.00103,1.71e-06,Steel,0,0,0
2,5.08,0.27561114967242156,0.0063301254853128305,Timber,0,0,0
3,2.98,0.2435811933175851,0.0049443164781682305,Timber,0,0,0
4,3.25,0.24582574776535676,0.005035858188699734,Timber,0,0,0
5,3.41,0.18207463893582262,0.0027625978453008483,Timber,0,0,0
6,1.72,0.2935412236373649,0.007180537497876789,Timber,0,0,0
7,2.76,0.2569433398801495,0.005501656659063835,Timber,0,0,0
8,5.53,0.00334,2.77e-05,Steel,0,0,0
9,5.62,0.00103,1.71e-06,Steel,0,0,0
