,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,7.19,0.24066729692747516,0.004826728984198124,Timber,Storlien,63.3160,12.1018
1,5.6,0.2742444659031297,0.006267502256541071,Timber,Gjovik,60.8941,10.5001
2,1.84,0.00334,2.77e-05,Steel,Tiller,63.3604,10.4008
3,7.66,0.2776081349072249,0.006422189713888999,Timber,Orkanger,63.3000,9.8468
4,2.28,0.26145713299131246,0.005696652699336404,Timber,Gjovik,60.8941,10.5001
5,5.12,0.17222501199339363,0.002471787896343715,Timber,Orkanger,63.3000,9.8468
6,7.56,0.17249116407759854,0.0024794334737370852,Timber,Storlien,63.3160,12.1018
7,4.93,0.283997361022695,0.006721208422321248,Timber,Tiller,63.3604,10.4008
8,7.77,0.00103,1.71e-06,Steel,Orkanger,63.3000,9.8468
9,9.99,0.27347724331936885,0.006232483551130106,Timber,Storlien,63.3160,12.1018
