MaterialType,Width,Height,Length,Quantity
Limtre GL24h,200,1000,3.317,1
Limtre GL24h,200,1000,17.289,1
Limtre GL24h,140,200,1.726,1
Limtre GL24h,140,280,3.939,1
Limtre GL24h,140,320,6.154,1
Limtre GL24h,140,400,8.366,1
Limtre GL24h,140,480,10.579,1
Limtre GL24h,180,560,12.81,1
Limtre GL24h,200,600,15.035,1
Limtre GL24h,140,680,17.146,1
Limtre GL24h,140,720,17.289,1
Limtre GL24h,140,840,6.359,1
Limtre GL24h,140,840,9.152,1
Limtre GL24h,140,840,6.453,1
Limtre GL24h,140,920,12.047,1
Limtre GL24h,140,920,11.959,1
Limtre GL24h,140,960,12.712,1
Limtre GL24h,140,960,12.617,1
Limtre GL24h,200,1000,7.404,1
Limtre GL24h,200,1000,12.353,1
Limtre GL24h,200,1000,7.477,1
Limtre GL24h,140,760,0.871,2
Limtre GL24h,180,760,17.289,1
Limtre GL24h,200,800,4.322,1
Limtre GL24h,200,800,4.307,1
Limtre GL24h,200,200,1.778,2
Limtre GL24h,200,200,2.054,2
Limtre GL24h,200,200,2.331,2
Limtre GL24h,200,200,2.609,2
Limtre GL24h,200,200,2.886,1
Limtre GL24h,200,200,3.164,2
Limtre GL24h,200,200,3.442,2
Limtre GL24h,200,200,3.805,2
Limtre GL24h,200,200,3.991,2
Limtre GL24h,200,200,4.267,2
Limtre GL24h,200,200,4.537,2
Limtre GL24h,200,200,4.852,2
Limtre GL24h,200,200,4.965,2
Limtre GL24h,200,200,4.367,2
Limtre GL24h,200,200,4.637,1
X-LAM 3-lags C24,1250,60,2.486,1
X-LAM 3-lags C24,1250,60,2.508,1
X-LAM 3-lags C24,1250,60,4.958,1
X-LAM 3-lags C24,1250,60,5.007,1
X-LAM 3-lags C24,1250,60,6.606,2
X-LAM 3-lags C24,1250,60,6.61,2
X-LAM 3-lags C24,1250,60,6.772,1
X-LAM 3-lags C24,1250,60,6.975,1
X-LAM 3-lags C24,1250,60,7.048,1
X-LAM 3-lags C24,1250,60,7.27,1
X-LAM 3-lags C24,1250,60,7.429,1
X-LAM 3-lags C24,1250,60,7.506,1
X-LAM 3-lags C24,1250,60,8.028,1
X-LAM 3-lags C24,1250,60,8.039,1
X-LAM 3-lags C24,1250,60,8.049,1
X-LAM 3-lags C24,1250,60,8.052,1
X-LAM 3-lags C24,1250,60,8.066,1
X-LAM 3-lags C24,1250,60,8.076,1
X-LAM 3-lags C24,1250,60,8.805,4
X-LAM 3-lags C24,1250,60,9.9,1
X-LAM 3-lags C24,1250,60,10.005,1
X-LAM 3-lags C24,1250,60,10.241,1
X-LAM 3-lags C24,1250,60,10.244,1
X-LAM 3-lags C24,1250,60,10.252,1
X-LAM 3-lags C24,1250,60,10.262,2
X-LAM 3-lags C24,1250,60,10.276,1
X-LAM 3-lags C24,1250,60,12.372,1
X-LAM 3-lags C24,1250,60,12.504,1
X-LAM 3-lags C24,1201,60,8.049,1
X-LAM 3-lags C24,1201,60,8.805,1
